epoch,loss,accuracy
1,0.693147,0.5167
2,0.616044,0.9542
3,0.554403,0.9542
4,0.504743,0.9542
5,0.464285,0.9542
6,0.430907,0.9542
7,0.403016,0.9542
8,0.379427,0.9542
9,0.359250,0.9542
10,0.341812,0.9542
11,0.326601,0.9542
12,0.313221,0.9542
13,0.301361,0.9542
14,0.290777,0.9542
15,0.281274,0.9542
16,0.272692,0.9542
17,0.264903,0.9542
18,0.257801,0.9542
19,0.251298,0.9542
20,0.245320,0.9542
21,0.239805,0.9542
22,0.234701,0.9542
23,0.229962,0.9542
24,0.225551,0.9542
25,0.221433,0.9542
26,0.217580,0.9542
27,0.213966,0.9542
28,0.210570,0.9542
29,0.207372,0.9542
30,0.204355,0.9542
31,0.201504,0.9542
32,0.198805,0.9542
33,0.196246,0.9542
34,0.193816,0.9542
35,0.191506,0.9542
36,0.189307,0.9542
37,0.187210,0.9542
38,0.185209,0.9542
39,0.183297,0.9542
40,0.181468,0.9542
41,0.179717,0.9542
42,0.178039,0.9542
43,0.176430,0.9542
44,0.174884,0.9542
45,0.173399,0.9542
46,0.171971,0.9542
47,0.170596,0.9542
48,0.169272,0.9542
49,0.167996,0.9542
50,0.166765,0.9542
51,0.165577,0.9542
52,0.164429,0.9542
53,0.163320,0.9542
54,0.162248,0.9542
55,0.161211,0.9542
56,0.160206,0.9542
57,0.159233,0.9542
58,0.158291,0.9542
59,0.157377,0.9542
60,0.156490,0.9542
61,0.155630,0.9542
62,0.154794,0.9542
63,0.153983,0.9542
64,0.153194,0.9542
65,0.152428,0.9542
66,0.151682,0.9542
67,0.150957,0.9542
68,0.150251,0.9542
69,0.149564,0.9542
70,0.148894,0.9542
71,0.148242,0.9542
72,0.147607,0.9542
73,0.146987,0.9542
74,0.146383,0.9542
75,0.145793,0.9542
76,0.145218,0.9542
77,0.144656,0.9542
78,0.144108,0.9542
79,0.143572,0.9542
80,0.143049,0.9542
81,0.142538,0.9542
82,0.142038,0.9542
83,0.141550,0.9542
84,0.141072,0.9542
85,0.140605,0.9542
86,0.140147,0.9542
87,0.139700,0.9542
88,0.139262,0.9542
89,0.138833,0.9542
90,0.138413,0.9542
91,0.138002,0.9542
92,0.137599,0.9542
93,0.137204,0.9542
94,0.136817,0.9542
95,0.136438,0.9542
96,0.136066,0.9542
97,0.135702,0.9542
98,0.135344,0.9542
99,0.134993,0.9542
100,0.134649,0.9542
101,0.134312,0.9542
102,0.133980,0.9542
103,0.133655,0.9542
104,0.133335,0.9542
105,0.133022,0.9542
106,0.132714,0.9542
107,0.132411,0.9542
108,0.132114,0.9542
109,0.131822,0.9542
110,0.131535,0.9542
111,0.131253,0.9542
112,0.130976,0.9542
113,0.130704,0.9542
114,0.130436,0.9542
115,0.130173,0.9542
116,0.129914,0.9542
117,0.129659,0.9542
118,0.129408,0.9542
119,0.129162,0.9542
120,0.128919,0.9542
121,0.128681,0.9542
122,0.128446,0.9542
123,0.128215,0.9542
124,0.127987,0.9542
125,0.127763,0.9542
126,0.127543,0.9542
127,0.127325,0.9542
128,0.127112,0.9542
129,0.126901,0.9542
130,0.126693,0.9542
131,0.126489,0.9542
132,0.126288,0.9542
133,0.126089,0.9542
134,0.125894,0.9542
135,0.125701,0.9542
136,0.125511,0.9542
137,0.125324,0.9542
138,0.125140,0.9542
